 , seconds taken, UCPS, PVEs, VS, % of VS Possible, Difference from Solution

small1
UCP, 0, 3, 0, 0, 0.0, 0.0 
PVE, 0, 0, 1, 6, 85.71428571428571, 0.0 
UCP_PVE, 0, 3, 0, 0, 0.0, 0.0 
max_active_clauses, 0, 3, 0, 0, 0.0, 0.0 
max_signed_active_clauses, 0, 3, 0, 0, 0.0, 0.0 

small2
UCP, 0, 17, 0, 9, 14.285714285714286, 0.0 
PVE, 0, 0, 1, 30, 47.61904761904762, 0.0 
UCP_PVE, 0, 17, 0, 9, 14.285714285714286, 0.0 
max_active_clauses, 0, 15, 0, 8, 12.698412698412698, 0.0 
max_signed_active_clauses, 0, 17, 0, 9, 14.285714285714286, 0.0 

small3
UCP, 0, 19, 0, 7, 5.511811023622047, 0.0 
PVE, 0, 0, 4, 64, 50.39370078740158, 0.0 
UCP_PVE, 0, 19, 0, 7, 5.511811023622047, 0.0 
max_active_clauses, 0, 16, 0, 5, 3.937007874015748, 0.0 
max_signed_active_clauses, 0, 16, 0, 5, 3.937007874015748, 0.0 

small4
UCP, 0, 27, 0, 13, 1.270772238514174, 5.551115123125783E-17 
PVE, 0, 0, 2, 154, 15.053763440860216, 0.0 
UCP_PVE, 0, 20, 3, 9, 0.8797653958944281, 5.551115123125783E-17 
max_active_clauses, 0, 19, 3, 8, 0.7820136852394917, 5.551115123125783E-17 
max_signed_active_clauses, 0, 19, 3, 8, 0.7820136852394917, 5.551115123125783E-17 

small5
UCP, 0, 8, 0, 0, 0.0, 0.0 
PVE, 0, 0, 0, 27, 2.6392961876832843, 0.0 
UCP_PVE, 0, 8, 0, 0, 0.0, 0.0 
max_active_clauses, 0, 8, 0, 0, 0.0, 0.0 
max_signed_active_clauses, 0, 8, 0, 0, 0.0, 0.0 

er1
UCP, 0, 39148, 0, 37487, 0.05585998379975533, -4.799999994697934E-9 
PVE, 1, 0, 1, 366016, 0.5454063496799223, -4.799999994697934E-9 
UCP_PVE, 0, 39058, 2, 37386, 0.05570948206945482, -4.799999994697934E-9 
max_active_clauses, 62, 2656, 9, 16365147, 24.385969704180503, 0.006419263680000009 
max_signed_active_clauses, 7, 67450, 5, 1750745, 2.60881338430663, 0.006419263680000002 

er2
UCP, 0, 837, 0, 391, 5.826354113613875E-4, 6.400000000447714E-10 
PVE, 0, 0, 0, 82181, 0.12245923463194422, 6.399999996110906E-10 
UCP_PVE, 0, 818, 3, 381, 5.677342499454953E-4, 6.400000000447714E-10 
max_active_clauses, 3, 1472, 18, 920943, 1.372312029783607, 0.0011565727480000003 
max_signed_active_clauses, 49, 998, 65, 15159506, 22.589424589118728, 7.707711999999998E-4 

er3
UCP, 0, 2462, 0, 2424, 0.003612041527212285, 4.319999998697588E-8 
PVE, 0, 0, 0, 42995, 0.06406754350762879, 4.319999999391477E-8 
UCP_PVE, 0, 2176, 6, 2100, 0.0031292438973373757, 4.319999998697588E-8 
max_active_clauses, 108, 3518, 6, 33953333, 50.59440956405415, 0.0404818416 
max_signed_active_clauses, 191, 609034, 17, 45302399, 67.50583600261562, 0.0404818416 

erer1
UCP, 0, 16436, 0, 13427, 0.020007789433118543, -2.3999999925784776E-10 
PVE, 1, 0, 34, 322040, 0.4798770022373945, -2.399999988241669E-10 
UCP_PVE, 0, 16313, 38, 13312, 0.01983642607683578, -2.3999999925784776E-10 
max_active_clauses, 2, 2491, 38, 1041365, 1.551754795786065, 3.248832000000007E-4 
max_signed_active_clauses, 3, 8769, 93, 625723, 0.9323999424636356, 3.248832000000007E-4 

erer2
UCP, 0, 6409, 0, 4864, 0.007247924912689998, -3.7600000014556545E-9 
PVE, 0, 0, 12, 146148, 0.21777749386098227, -3.760000003190378E-9 
UCP_PVE, 0, 6326, 19, 4784, 0.0071287156213628595, -3.7600000014556545E-9 
max_active_clauses, 3, 48021, 235, 790634, 1.1781364854892564, 0.006279099200000001 
max_signed_active_clauses, 13, 3199, 234, 2274155, 3.3887550739758474, 0.0062790992 

erer3
UCP, 0, 12763, 0, 15184, 0.022625923493890813, -3.344000000515823E-8 
PVE, 1, 0, 107, 489603, 0.72956533327051, -3.344000000515823E-8 
UCP_PVE, 0, 12589, 55, 14987, 0.022332370613997735, -3.344000000515823E-8 
max_active_clauses, 12, 54333, 114, 3177698, 4.7351390828958015, 0.05129542 
max_signed_active_clauses, 19, 1012, 18, 3186899, 4.748849641514564, 0.05156873584 

ns1
UCP, 5, 705667, 0, 573189, 8.340997737953745E-4, 2.2388927996275232E-8 
PVE, 186, 0, 753, 37240517, 0.05419208464524406, 2.2388927996275232E-8 
UCP_PVE, 5, 613537, 1632, 495262, 7.2070106399363E-4, 2.2388927996275232E-8 
max_active_clauses, 10728, 5085472, 1218115, 1926252250, 2.8030659450858812, 0.02518299885696 
max_signed_active_clauses, 17961, 15168765, 28457, -1526216615, -2.22093748019282, 0.025488401568000002 
